"filename", "language", "HTML", "JavaScript", "PostCSS", "YAML", "Dart", "Markdown", "JSON", "XML", "Python", "Properties", "Java", "comment", "blank", "total"
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\lib\services\knowledge_update_service（已弃用）.dart", "Dart", 0, 0, 0, 0, 794, 0, 0, 0, 0, 0, 0, 24, 59, 877
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\lib\utils\permission_handler.yaml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 15, 16, 69
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\lib\widgets\coach_character.dart", "Dart", 0, 0, 0, 0, 1372, 0, 0, 0, 0, 0, 0, 22, 106, 1500
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\lib\widgets\draggable_cat.dart", "Dart", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 12, 208
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\lib\widgets\roaming_cat.dart", "Dart", 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 21, 266
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\pubspec.yaml", "YAML", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\activity.html", "HTML", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 267
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\authors.html", "HTML", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 180
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\chart.umd.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 21
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\files.html", "HTML", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 118
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\gitstats.css", "PostCSS", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 0, 30, 76, 536
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\index.html", "HTML", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 59
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\lines.html", "HTML", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 86
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\sortable.js", "JavaScript", 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 325
"c:\Users\Ethoc\Documents\GitHub\Fitness-Tracker_Android-Dev\Fitness-Tracker\stats_report\tags.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 55
"Total", "-", 700, 281, 430, 89, 6359, 20, 6287, 160, 3281, 7, 0, 355, 779, 18748
